Class1(From),Class2(To),isExternalDep,isSuperClass,isImplementingInterface,hasReturn,hasParameter,hasBinding,instantiates,hasField,hasLocalVariable,hasCast,numberOfStaticMethodsCalled,StaticMethodsCalled,numberOfMethodsCalled,MethodsCalled
org.andromda.samples.carrental.inventory.CarDaoBase$1,org.andromda.samples.carrental.inventory.CarDaoBase,0,0,0,0,1,0,0,1,0,0,0,[  ],1,[  create ]
org.andromda.samples.carrental.contracts.Contract$Factory,org.andromda.samples.carrental.contracts.AccidentDoc,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.admins.AdminServiceBase,org.andromda.samples.carrental.PrincipalStore,0,0,0,0,0,0,0,0,0,0,1,[  get ],0,[  ]
org.andromda.samples.carrental.contracts.HandoutDocDaoBase$2,org.andromda.samples.carrental.contracts.HandoutDocDaoBase,0,0,0,0,1,0,0,1,0,0,0,[  ],1,[  update ]
org.andromda.samples.carrental.contracts.HandoutDocDaoBase,org.andromda.samples.carrental.contracts.HandoutDoc,0,0,0,1,1,0,0,0,1,1,0,[  ],3,[  setReturnDate setContract setHandoutDate ]
org.andromda.samples.carrental.inventory.CarTypeDaoBase,net.sf.hibernate.Session,1,0,0,0,0,0,0,0,1,0,0,[  ],1,[  createQuery ]
org.andromda.samples.carrental.contracts.HandoutDocDao,org.andromda.samples.carrental.contracts.Contract,0,0,0,0,1,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.ServiceLocator,org.andromda.samples.carrental.inventory.InventoryService,1,0,0,1,0,0,0,0,0,1,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.InventoryServiceBase,org.andromda.samples.carrental.inventory.CarAccessoryDao,0,0,0,1,1,0,0,1,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarAccessory$Factory,org.andromda.samples.carrental.inventory.CarAccessory,0,0,0,1,0,0,0,0,1,0,0,[  ],3,[  setCar setInventoryNo setCarAccessoryType ]
org.andromda.samples.carrental.inventory.ejb.InventoryService,org.andromda.samples.carrental.inventory.CarTypeData,1,0,0,0,1,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.CriteriaSearch,net.sf.hibernate.expression.SimpleExpression,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.admins.AdminServiceBase,org.andromda.samples.carrental.admins.AdminServiceException,1,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.InventoryServiceImpl,org.andromda.samples.carrental.inventory.CarData,1,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.ReturnDocDaoBase,org.springframework.orm.hibernate.HibernateTemplate,1,0,0,0,0,0,0,0,1,0,0,[  ],7,[  get save deleteAll update loadAll execute delete ]
org.andromda.samples.carrental.inventory.Car$Factory,org.andromda.samples.carrental.inventory.CarImpl,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.AccidentDocDaoBase,org.andromda.samples.carrental.contracts.AccidentDocDaoBase$1,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarDaoBase,org.andromda.samples.carrental.inventory.Car,0,0,0,1,1,0,0,0,1,1,0,[  ],3,[  setCarType setInventoryNo setRegistrationNo ]
org.andromda.samples.carrental.inventory.InventoryServiceBase,org.andromda.samples.carrental.inventory.CarTypeDao,0,0,0,1,1,0,0,1,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.InventoryServiceBase,org.andromda.samples.carrental.inventory.InventoryServiceException,1,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarType$Factory,org.andromda.samples.carrental.inventory.CarType,0,0,0,1,0,0,0,0,1,0,0,[  ],5,[  setComfortClass setOrderNo setIdentifier setCars setManufacturer ]
org.andromda.samples.carrental.contracts.ReturnDocDaoBase$1,org.andromda.samples.carrental.contracts.ReturnDocDaoBase,0,0,0,0,1,0,0,1,0,0,0,[  ],1,[  create ]
org.andromda.samples.carrental.ServiceLocator,org.andromda.samples.carrental.customers.CustomerService,1,0,0,1,0,0,0,0,0,1,0,[  ],0,[  ]
org.andromda.samples.carrental.CriteriaSearch,net.sf.hibernate.FetchMode,1,0,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.ReturnDocDaoBase,org.andromda.samples.carrental.contracts.Contract,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.admins.ejb.AdminService,javax.ejb.EJBLocalObject,1,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarTypeDaoImpl,org.andromda.samples.carrental.inventory.CarTypeDaoBase,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.HandoutDoc$Factory,org.andromda.samples.carrental.contracts.HandoutDoc,0,0,0,1,0,0,0,0,1,0,0,[  ],3,[  setReturnDate setContract setHandoutDate ]
org.andromda.samples.carrental.admins.Administrator$Factory,org.andromda.samples.carrental.admins.Administrator,0,0,0,1,0,0,0,0,1,0,0,[  ],3,[  setName setPassword setAccountNo ]
org.andromda.samples.carrental.inventory.CarTypeDaoBase,net.sf.hibernate.Query,1,0,0,0,0,0,0,0,1,0,0,[  ],2,[  setParameter list ]
org.andromda.samples.carrental.CriteriaSearch$ParameterComparator,org.andromda.samples.carrental.CriteriaSearch$1,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.customers.CustomerDaoBase$1,org.andromda.samples.carrental.customers.Customer,0,0,0,0,0,0,0,0,0,1,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.PartnerInAccident$Factory,org.andromda.samples.carrental.contracts.PartnerInAccident,0,0,0,1,0,0,0,0,1,0,0,[  ],5,[  setOwnerAddress setOwnerName setDriverName setOwnersInsuranceNo setAccidentDoc ]
org.andromda.samples.carrental.contracts.ReturnDocDaoBase,org.andromda.samples.carrental.contracts.ReturnDoc,0,0,0,1,1,0,0,0,1,1,0,[  ],3,[  setContract setReturned setRemarks ]
org.andromda.samples.carrental.admins.AdministratorDao,org.andromda.samples.carrental.admins.Administrator,0,0,0,1,1,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.ReservationDaoBase,org.springframework.orm.hibernate.HibernateTemplate,1,0,0,0,0,0,0,0,1,0,0,[  ],7,[  get save deleteAll update loadAll execute delete ]
org.andromda.samples.carrental.inventory.CarDaoBase,net.sf.hibernate.Query,1,0,0,0,0,0,0,0,1,0,0,[  ],2,[  setParameter list ]
org.andromda.samples.carrental.contracts.PartnerInAccidentDaoBase,org.andromda.samples.carrental.contracts.PartnerInAccidentDaoBase$2,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.InventoryServiceImpl,org.andromda.samples.carrental.inventory.CarTypeData,1,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.ContractDaoBase,org.andromda.samples.carrental.contracts.Contract,0,0,0,1,1,0,0,0,1,1,0,[  ],5,[  setHandoutDoc setCustomer setCars setSigned setContractNo ]
org.andromda.samples.carrental.inventory.CarAccessoryDaoBase$1,org.andromda.samples.carrental.inventory.CarAccessoryDaoBase,0,0,0,0,1,0,0,1,0,0,0,[  ],1,[  create ]
org.andromda.samples.carrental.contracts.Contract$Factory,org.andromda.samples.carrental.contracts.ContractImpl,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarAccessoryTypeDaoBase$1,org.springframework.orm.hibernate.HibernateCallback,1,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.ContractServiceBase,java.security.Principal,1,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarAccessoryDaoBase,org.springframework.orm.hibernate.support.HibernateDaoSupport,1,1,0,0,0,0,0,0,0,0,0,[  ],1,[  getHibernateTemplate ]
org.andromda.persistence.hibernate.usertypes.HibernateByteBlobType,net.sf.hibernate.UserType,1,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.ReturnDoc$Factory,org.andromda.samples.carrental.contracts.Contract,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.ReservationDaoBase$1,org.springframework.orm.hibernate.HibernateCallback,1,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.customers.CustomerDaoBase,net.sf.hibernate.HibernateException,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.AccidentDoc,org.andromda.samples.carrental.contracts.Contract,0,0,0,1,1,0,0,1,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.Contract$Factory,org.andromda.samples.carrental.customers.Driver,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.admins.AdministratorDaoBase,org.andromda.samples.carrental.admins.AdministratorImpl,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.ReservationDaoBase$2,org.andromda.samples.carrental.contracts.Reservation,0,0,0,0,0,0,0,0,0,1,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.PartnerInAccidentDaoBase,org.andromda.samples.carrental.contracts.PartnerInAccidentDao,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.ContractDaoBase$1,net.sf.hibernate.Session,1,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarDaoBase,org.springframework.orm.hibernate.support.HibernateDaoSupport,1,1,0,0,0,0,0,0,0,0,0,[  ],1,[  getHibernateTemplate ]
org.andromda.samples.carrental.customers.DriverDao,org.andromda.samples.carrental.customers.Customer,0,0,0,0,1,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.customers.DriverDaoBase,org.andromda.samples.carrental.customers.DriverDao,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarTypeDaoBase,org.andromda.samples.carrental.inventory.CarTypeDao,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.AccidentDocDaoBase$2,org.andromda.samples.carrental.contracts.AccidentDoc,0,0,0,0,0,0,0,0,0,1,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.ReservationDaoBase,org.andromda.samples.carrental.contracts.Reservation,0,0,0,1,1,0,0,0,1,1,0,[  ],3,[  setComfortClass setCustomer setReservationDate ]
org.andromda.samples.carrental.contracts.ReservationDaoBase,org.andromda.samples.carrental.contracts.ReservationDaoBase$2,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarAccessoryTypeDaoBase$1,net.sf.hibernate.Session,1,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarAccessoryDaoBase,org.andromda.samples.carrental.inventory.CarAccessoryDaoBase$1,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.HandoutDocDaoBase$1,org.andromda.samples.carrental.contracts.HandoutDoc,0,0,0,0,0,0,0,0,0,1,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.ContractServiceImpl,org.andromda.samples.carrental.contracts.ContractServiceBase,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarAccessoryDaoBase,org.springframework.orm.hibernate.HibernateTemplate,1,0,0,0,0,0,0,0,1,0,0,[  ],7,[  get save deleteAll update loadAll execute delete ]
org.andromda.samples.carrental.contracts.ReturnDoc$Factory,org.andromda.samples.carrental.contracts.ReturnDocImpl,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.CriteriaSearch,net.sf.hibernate.expression.Expression,1,0,0,0,0,0,0,0,0,0,10,[  like disjunction in isNull lt le ilike eq gt ge ],0,[  ]
org.andromda.samples.carrental.inventory.InventoryServiceBase,org.andromda.samples.carrental.inventory.CarData,1,0,0,0,1,0,0,0,1,0,0,[  ],2,[  getInventoryNo getRegistrationNo ]
